,WRS,P,Q
0,52.0,0.018281095717095165,0.039173776536632496
1,19.0,0.0001549427537712516,0.0015494275377125157
2,44.0,0.0069817521443465555,0.019041142211854243
3,29.0,0.0008236018960067311,0.0035297224114574192
4,77.5,0.1790270286085931,0.220690145790845
5,94.0,0.43611881489340604,0.4542494608888251
6,49.0,0.012914689861836082,0.032286724654590204
7,28.0,0.0007010022589284599,0.0035103239710102506
8,28.0,0.0007020647942020501,0.0035103239710102506
9,57.0,0.0313804887274039,0.0627609774548078
10,31.0,0.0011233503767113771,0.004212563912667664
11,42.0,0.005373885078856576,0.016121655236569728
12,22.0,0.00026069012604509325,0.0019551759453381996
13,78.0,0.1851317862737355,0.220690145790845
14,74.0,0.1401221995162274,0.19107572661303737
15,51.5,0.017052904731879277,0.039173776536632496
16,78.5,0.19126479301873234,0.220690145790845
17,7.0,1.583501762749986e-05,0.00023752526441249788
18,68.0,0.0875474631141216,0.1313211946711824
19,67.0,0.07997268483535808,0.12627266026635486
20,59.5,0.04011385808800749,0.07268298673847066
21,95.0,0.4542494608888251,0.4542494608888251
22,61.0,0.041187025818466706,0.07268298673847066
23,2.0,5.672594805748925e-06,0.00017017784417246775
24,94.5,0.44197740080311326,0.4542494608888251
25,35.5,0.0021490908271950024,0.0071636360906500085
26,63.0,0.056411750841306396,0.09401958473551067
27,70.0,0.10087995346249723,0.1441142192321389
28,86.0,0.2948196310571727,0.327577367841303
29,78.5,0.18799006459239292,0.220690145790845
