,FS-H,FS-A,FS-W,SS-H,SS-A,SS-W,FL1-H,FL1-A,FL1-W,FL2-H,FL2-A,FL2-W,FL3-H,FL3-A,FL3-W,FL4-H,FL4-A,FL4-W,FL5-H,FL5-A,FL5-W,FL6-H,FL6-A,FL6-W,FL7-H,FL7-A,FL7-W,FL8-H,FL8-A,FL8-W,FL9-H,FL9-A,FL9-W,FL10-H,FL10-A,FL10-W,Time
31,28736,495876,323,10812,119090,181,8320,94377,195,5728,64106,211,7289,85470,191,3023,22668,58,2179,20239,216,459,5815,218,479,6203,234,226,2920,236,3460,53002,312,3952,53810,295,682
32,32032,218684,103,11383,68709,90,5784,31873,78,3899,18870,67,5653,24648,66,1609,5591,44,2318,10768,64,282,1960,100,443,2816,91,231,1458,93,1527,9029,91,1692,10021,89,689
33,26976,233801,136,8434,59839,108,1830,13380,135,2407,15223,88,4437,20291,53,605,4164,158,70,297,80,93,682,114,44,299,89,32,175,98,2713,20201,145,1858,15753,159,693
34,36656,254066,105,9421,52297,82,6928,41624,93,3792,20010,78,3494,20715,82,1942,7752,58,1600,8271,74,242,1719,109,386,2453,92,189,1201,93,1826,11497,97,2050,12433,90,697
35,27728,159604,85,4915,25420,76,5383,25241,65,2608,14034,83,3432,14765,50,1083,3236,63,1545,7307,72,161,957,88,292,1760,89,138,763,80,981,5388,79,1282,6498,74,697
36,32928,187242,84,2890,15468,78,5195,25316,73,3343,15360,64,2687,13802,83,667,2755,63,1028,4689,71,210,1169,83,226,1260,77,103,586,80,1499,7357,72,1482,7287,71,707
37,45312,971662,436,18784,292816,293,10705,216708,459,7068,139331,451,10212,156321,442,1942,35712,440,2430,41952,465,619,10567,394,647,11572,414,312,5611,413,6331,97984,243,5617,91940,412,709
38,30368,192401,94,4194,28074,104,3137,18943,101,2415,15541,109,3535,20550,92,1119,6012,106,876,4304,73,190,1339,101,195,1213,90,92,591,97,2818,15904,83,2833,16492,87,717
39,27024,151979,82,3883,20053,76,6391,30470,67,6257,32013,76,9869,37454,54,1704,7936,68,1445,7390,75,283,1767,92,382,2265,83,198,1178,86,1449,6928,68,1707,8201,68,722
40,29376,196000,102,6089,35789,88,3551,17761,74,1784,9468,76,2024,8309,53,791,2229,48,1636,7795,68,157,939,88,358,2038,78,182,1005,80,886,4969,83,1161,6538,86,740
41,28400,169297,88,9897,55965,85,2222,10889,68,1297,7020,89,1296,5793,66,1203,2664,25,2002,9062,66,215,1272,85,363,2142,84,177,999,85,660,3329,67,1033,5325,74,803
42,31424,260656,104,5599,57564,129,12936,69351,77,7806,44381,79,6552,38057,78,2435,10938,37,2419,14754,87,573,4625,104,667,4990,99,324,2353,100,1942,21150,204,2257,25493,202,831
43,27120,221129,127,36752,233708,97,5810,33711,88,3073,18263,104,4452,23580,90,1710,6591,75,1913,11916,96,1364,10548,113,926,6573,103,395,2778,102,1675,9792,86,1964,11800,92,861
44,31680,165867,76,3708,17479,67,4252,20609,70,2338,11166,75,1623,7844,80,600,1649,32,1295,6424,73,155,879,81,304,1804,84,150,862,83,1225,5476,61,1297,5721,62,893
45,33360,182940,81,1531,7255,69,3378,16363,74,2236,10647,77,3228,15091,70,844,3294,64,1600,8192,74,174,978,80,339,1986,84,164,992,82,1055,4615,63,1342,6074,66,927
46,37424,282478,111,16384,131987,125,4336,26753,95,3293,20477,90,3535,24151,116,1349,7396,151,56,274,53,115,846,110,40,276,113,21,123,106,6344,44221,102,5149,35176,104,930
47,27728,185081,102,17264,99746,87,3808,21185,80,1880,10140,87,3169,18575,94,1226,4291,33,1176,6473,81,171,1064,91,318,1882,83,162,909,79,980,6255,96,1297,7433,85,936
48,36080,222509,93,9360,48428,75,10090,51395,75,6648,32985,81,8700,33766,49,1537,7449,76,2555,12375,70,362,2142,87,617,3546,81,309,1775,84,2650,14877,83,2878,15674,81,969
49,29664,181969,92,6333,33110,76,7609,40963,80,5329,22374,52,5204,24077,66,1766,6924,63,2246,11358,76,734,4483,88,758,4634,88,354,2197,89,1917,10023,78,2306,11581,71,994
50,33424,203224,90,10414,54137,76,10580,53239,76,6680,34337,74,6689,33391,77,1715,8287,88,2415,12383,74,1220,7349,86,1102,6849,89,496,3104,89,2577,13374,77,2937,15075,75,996
51,28544,148623,75,3509,16162,67,5405,22828,63,3188,13373,61,3487,15955,73,936,3827,69,1803,7456,58,194,1095,78,308,1708,79,156,863,77,1475,6759,67,1611,7554,68,997
52,31520,176696,82,5118,24142,67,8990,42468,66,6362,26643,61,5824,25156,65,2076,7852,46,2668,13093,69,837,4916,83,944,5804,87,451,2771,90,2514,11495,66,2932,13550,66,1009
53,69264,1048575,367,41072,609669,283,16928,367415,413,10469,225298,402,16496,273954,313,4171,64498,330,5490,110304,397,819,17109,371,1360,29074,387,678,14628,389,7384,147934,420,7745,156774,433,1019
54,26768,194996,112,9971,59979,91,3920,21179,78,2567,12365,64,2931,16410,72,1241,3126,31,2244,11382,76,235,1514,92,482,2987,88,242,1456,87,991,5724,88,1404,8091,84,1035
55,30576,181743,88,12608,69932,82,4562,22580,71,2300,11734,63,3564,16803,83,1170,2850,33,1908,9187,71,188,1178,87,381,2261,87,182,1100,82,1066,5741,81,1347,7420,82,1043
56,26640,167128,95,7834,41570,78,4132,20006,76,2268,10744,68,1899,8583,76,862,3270,55,1711,9607,86,178,1165,94,375,2377,90,201,1199,88,965,4944,72,1033,5287,73,1066
57,28656,171452,90,9945,56348,85,5592,25477,67,3406,17249,70,3176,17416,79,1441,6326,62,1532,7364,67,260,1579,86,368,2112,83,189,1072,77,1810,9706,80,1988,10205,76,1081
58,27248,210198,119,5375,33597,92,8933,50779,85,5652,30772,75,6819,34584,83,2493,8742,38,2603,15640,90,1508,9891,93,1119,7406,95,486,3284,96,2036,13446,98,2537,15503,89,1094
59,31536,222117,107,5706,33117,86,6493,39362,95,4674,24412,82,5468,26515,69,1120,4852,57,1088,6637,101,947,6910,107,588,4425,109,298,2130,106,1768,10345,87,1779,11785,98,1115
60,27424,165711,91,4280,22356,76,7044,34718,74,4907,21719,69,4864,21434,55,1739,8169,83,2113,10124,70,352,2201,90,467,2887,90,242,1418,86,2093,10034,69,2430,11320,67,1154
61,59072,933321,215,34960,500006,162,12496,204183,274,9541,157145,281,13472,206009,257,3469,50218,319,1558,14691,259,526,8353,272,375,4311,137,198,2342,139,6668,116543,396,6152,103533,299,1156
62,28448,163794,85,2499,13367,79,3582,19628,83,2702,13308,75,3012,13509,64,625,2296,49,2086,10913,70,196,1304,97,400,2649,95,207,1365,92,1048,5046,67,1448,6995,68,1199
63,32304,201723,95,5184,26585,74,5527,27659,73,4118,20000,72,4737,21130,69,1018,3479,38,2242,10733,69,255,1501,85,447,2573,82,225,1365,87,1370,7249,76,1565,8360,78,1229
64,38048,267500,107,24320,131345,78,7099,37586,83,4033,24063,87,6331,25647,46,946,3835,62,1903,8996,73,261,1552,82,418,2371,78,217,1200,82,1917,12149,98,2051,12934,93,1238
65,28384,177895,94,5383,29806,81,4160,24015,91,2597,14548,88,4183,20071,70,428,1568,87,1467,9127,100,204,1430,102,334,2422,107,163,1225,110,1214,6788,83,1452,7658,77,1256
66,26304,161984,88,2310,14820,98,4576,22155,65,3209,15288,69,3483,17055,68,553,2848,104,2120,10612,71,205,1300,92,457,2764,85,234,1390,85,2006,12698,106,1816,12053,110,1261
67,31232,170123,81,4407,20544,66,4582,23079,71,3163,14820,72,3636,12556,39,512,2184,68,912,4308,72,121,712,82,233,1237,73,106,582,69,1856,8711,69,1688,7632,65,1266
68,29808,169123,83,5668,29390,76,2224,9864,68,1078,6632,92,1692,7790,47,899,2434,28,1398,5794,60,182,1048,77,296,1704,80,141,802,83,667,3483,77,769,3781,71,1267
69,28944,199116,104,7084,40425,83,2246,13950,96,1436,10220,110,1926,16394,131,1045,5030,81,69,191,22,65,461,112,23,161,93,13,80,316,3847,26972,107,3381,23031,101,1267
70,27296,148369,81,1988,9719,70,7543,37563,74,4998,22811,64,6845,28686,55,1139,4548,45,2001,10146,80,248,1460,83,449,2801,87,236,1451,89,1998,9193,67,2215,9710,62,1272
71,27856,159327,86,4745,23041,70,5550,27664,76,4381,21975,77,6723,27323,64,1131,5626,75,1376,6786,72,464,2598,80,438,2576,84,230,1365,86,2286,10329,64,2280,10702,68,1289
72,31248,187490,89,5103,26255,75,6768,34226,78,4525,21603,68,4502,21252,79,1059,4507,68,2668,14105,80,274,1818,98,503,3460,99,266,1760,98,1727,8472,71,2149,10521,69,1310
73,26672,267052,211,7707,76763,184,7293,54224,94,4422,31412,107,6041,43481,142,1028,6306,77,1447,6394,60,230,2388,214,302,2094,85,154,1061,88,2963,26526,144,2539,22091,155,1363
74,34480,193699,82,5402,29668,82,3514,18158,80,1817,9027,83,1778,10373,79,420,1426,83,1941,9385,72,308,1815,84,450,2634,84,220,1221,76,873,4477,77,1174,6021,74,1378
75,27872,177852,95,3504,19228,82,6030,31143,77,3543,20931,96,3011,16806,98,1055,4357,85,1595,8206,77,1057,6983,95,612,4047,97,282,1795,91,1619,8619,74,2174,10769,69,1403
76,29904,217377,104,43072,294963,103,2590,19784,123,1763,11753,110,3571,21009,126,1684,7323,76,54,293,105,68,549,121,28,175,107,15,71,139,4091,33666,123,3412,27113,123,1419
77,26960,215851,124,7807,46500,90,5437,31219,90,3521,19264,78,4708,22797,60,632,3604,128,2356,13147,83,262,1848,105,547,3558,93,277,1735,88,1426,9173,103,1628,10545,98,1422
78,31888,171136,78,8625,42585,71,9472,43177,65,5214,23717,64,6132,29259,73,2299,8233,54,3139,14621,70,670,3891,80,792,4618,83,391,2254,81,2082,9334,63,2298,10668,65,1431
79,30592,173569,85,5418,28481,77,3437,16285,59,2238,10461,65,3842,10263,31,987,3525,35,1593,8202,76,190,1033,81,326,1819,80,166,938,76,1030,5241,69,1084,5284,70,1437
80,27536,161325,87,6191,32754,76,4073,20816,77,2826,15708,88,4547,21092,84,1356,5709,39,2611,12692,68,329,2147,94,551,3599,95,289,1847,94,1022,5208,71,1637,7853,69,1475
81,28048,213159,116,5941,36896,92,5273,30758,87,2753,20609,122,2746,17104,108,777,3668,74,985,5009,68,129,870,97,167,1135,96,78,529,99,1360,8489,89,1417,8910,93,1533
82,32432,267866,129,6486,42150,99,6674,42679,97,4307,21173,78,5020,29512,93,1237,5832,89,2255,12849,82,224,1630,108,347,2535,106,177,1250,105,1480,9307,91,1572,9987,92,1540
83,37440,272550,97,2859,24530,135,1452,12027,144,1016,7022,105,1494,9972,130,408,2282,113,74,267,71,42,417,154,20,159,196,17,105,190,2711,23687,145,2132,18787,145,1553
84,27232,147348,80,4224,21403,75,1099,5928,82,564,2883,82,636,2358,71,680,2272,30,49,130,24,28,135,61,15,75,171,9,28,299,3258,15931,70,2505,12495,73,1555
85,31520,184161,86,5980,32232,79,2388,11573,72,1600,6441,55,1101,5147,57,543,2681,74,1596,6535,55,135,796,86,275,1563,80,146,792,70,532,2772,76,726,3771,76,1575
86,30112,214566,100,19520,135210,108,2663,18590,111,1780,14700,143,3589,21552,80,1433,9174,104,82,244,32,64,565,151,33,241,142,22,116,123,5654,39247,99,4314,31087,104,1603
87,28640,155788,80,3684,17577,69,6788,31649,67,3691,17674,75,4940,17676,38,996,3126,48,2511,11015,62,258,1450,81,533,2935,78,279,1521,76,1581,7185,66,2042,9275,65,1624
