,FS-H,FS-A,FS-W,SS-H,SS-A,SS-W,FL1-H,FL1-A,FL1-W,FL2-H,FL2-A,FL2-W,FL3-H,FL3-A,FL3-W,FL4-H,FL4-A,FL4-W,FL5-H,FL5-A,FL5-W,FL6-H,FL6-A,FL6-W,FL7-H,FL7-A,FL7-W,FL8-H,FL8-A,FL8-W,FL9-H,FL9-A,FL9-W,FL10-H,FL10-A,FL10-W,Time
0,31872,510593,390,5088,73729,214,2651,32629,184,2032,29264,265,3828,41190,231,2461,26067,150,293,3145,168,5338,67439,192,1773,22913,195,952,12313,194,2096,25663,153,1736,22325,166,194
1,33312,213903,78,6125,35250,67,2286,12556,85,2114,9165,62,1624,9760,144,2217,9790,63,429,1624,44,9198,51187,79,2891,16039,79,1385,7662,79,1838,11852,95,1706,10922,95,195
2,26800,417991,321,2993,23010,97,339,1650,295,741,4205,142,1964,14266,132,731,4860,210,172,1049,254,1253,6222,61,424,2020,60,212,1050,60,180,429,102,115,518,130,195
3,145968,1048575,147,45840,1048575,621,8259,856855,750,6987,701222,758,11418,947812,681,6385,473820,609,963,65958,63,19568,1048575,1023,6482,416436,1023,3404,220385,1023,6042,484221,822,5195,435850,815,195
4,112576,1048575,677,25056,1048575,475,9300,463232,480,8134,392388,473,12555,527261,470,6606,277924,488,838,39267,312,16384,707790,289,5590,230272,280,2984,122091,282,4666,283931,530,4140,253016,528,195
5,65824,1048575,436,7326,144204,338,3152,63821,398,3070,48716,411,3639,60569,350,3347,50854,377,436,6690,405,8168,142812,293,2669,46090,293,1373,23423,294,1971,36949,329,1663,30907,342,195
6,155952,1048575,667,36880,1048575,496,11517,1048575,513,10103,891256,532,14576,1048575,611,8741,605396,446,995,79975,577,16960,1048575,504,5863,456817,510,3164,246545,518,7569,664205,527,7054,629926,622,195
7,104464,1048575,622,18304,640587,608,6866,221834,560,5556,162075,509,7297,200880,570,8606,199216,472,1166,32799,565,22384,739865,545,8147,257647,536,4415,139775,534,3275,97386,376,2909,87115,370,203
8,39680,500225,169,6314,84922,180,1609,22283,350,1473,19664,238,2663,24320,118,1419,12699,184,177,1864,337,3588,49482,191,1216,16631,187,632,8892,189,898,13361,228,816,12512,231,203
9,41056,561032,238,9687,98525,144,2575,32735,301,2091,19930,263,3249,21791,307,3736,18554,34,368,3716,113,3948,40151,125,1278,13099,123,696,6900,124,1277,17448,196,1129,15518,400,203
10,65360,1048575,508,6370,167936,626,1835,43166,538,1810,28576,384,2958,36844,635,1793,24425,542,134,925,414,2046,24128,375,584,7023,380,301,3411,381,1167,27456,556,1100,24884,551,203
11,27952,175644,81,3838,8313,29,1114,2901,29,690,2537,317,1992,6391,16,433,1997,311,60,88,16,271,789,42,77,192,38,42,99,40,743,1708,17,653,1798,23,203
12,41696,689454,368,4661,79578,404,1660,31992,394,2703,33536,357,5416,45172,52,1671,20835,366,258,3385,385,2766,56419,382,867,18175,386,472,9654,384,1504,21642,362,1565,20434,359,203
13,105680,1048575,256,36000,699649,254,5013,153200,444,4198,113245,480,4546,145536,859,4933,135762,611,692,18979,573,11325,424135,606,3657,137591,595,1967,73426,567,2166,73107,582,2003,63500,396,204
14,114624,1048575,644,28992,1048575,1023,7325,546788,586,5132,423299,612,8658,555001,253,7772,447923,394,1127,73638,558,21216,1048575,377,7258,506925,361,3881,270671,358,3181,269715,524,2727,242991,555,204
15,53376,683340,175,6903,90080,212,2071,27066,248,1881,22456,225,2288,29574,266,2286,21257,124,277,2522,130,5116,56284,144,1685,18643,147,888,9980,148,1261,15652,204,1087,14020,231,204
16,67232,1048575,208,6367,135002,374,2648,56442,417,2875,47867,353,4690,68776,323,2721,28073,98,214,2170,311,4578,50394,128,1417,15280,124,762,7969,120,2600,55053,411,2170,49705,413,204
17,60864,1048575,634,8040,322239,784,3010,103040,696,2494,79275,945,4430,117658,955,2891,76312,655,362,11213,773,7392,268061,689,2475,88249,678,1310,47042,688,1790,57071,657,1515,49427,647,204
18,39360,563303,226,4031,59238,284,1651,23980,269,1820,19816,119,3770,31855,119,1192,12812,302,161,1821,208,2825,46535,317,966,15380,249,501,7897,243,1110,13286,141,1020,11790,138,204
19,38832,595204,248,6452,85609,381,1759,30268,361,1452,23438,375,3088,37951,265,1654,21385,375,255,2879,331,3429,53378,293,1122,17271,292,571,8904,287,962,19859,375,927,17352,374,204
20,46800,660404,290,7055,92474,316,2273,28242,223,1667,23351,300,2031,22674,240,1910,20985,225,261,3039,201,4660,80436,313,1515,25829,311,834,13912,309,748,13684,317,687,12261,341,204
21,48944,902690,410,18848,270386,150,3360,57532,556,2849,41645,532,3281,56687,582,1874,24712,515,232,2693,265,3965,55139,227,1350,18347,225,716,9576,225,3797,50452,156,3072,41052,159,204
22,34992,543252,232,8698,139979,267,3232,47193,237,3032,34736,229,3466,50319,332,2564,20318,61,249,2842,240,4506,64837,220,1487,21684,225,801,11560,229,2317,34980,248,1721,26844,261,204
23,114192,1048575,329,20416,913758,557,5020,203527,257,3764,147993,359,7092,216730,319,2967,111682,649,557,17361,109,7477,341297,377,2446,109992,375,1274,58555,382,2355,113423,936,2176,101494,291,204
24,115920,1048575,724,16480,1048575,773,6437,461846,740,6629,382707,656,9176,517534,794,4892,254303,677,710,32649,660,12927,686399,602,4396,224985,597,2342,118705,595,4250,305456,784,3727,270892,777,204
25,79488,1048575,601,17344,889326,734,6260,321668,747,5452,274366,777,8886,347964,771,3245,167094,874,425,21986,595,5891,379590,492,1976,126246,494,1078,67534,499,5032,229660,587,4205,197121,587,204
26,56672,1021306,302,12928,240208,308,7934,117578,236,6160,98168,261,8418,127190,295,4813,55705,230,638,7774,112,10926,150621,204,3565,48922,197,1871,26060,202,4371,80174,302,3876,72677,306,204
27,36976,312478,212,4382,20905,71,312,605,36,404,911,59,2985,6966,302,1873,8792,61,247,1451,70,6559,54578,138,2166,17973,138,1183,9752,138,15,15,20,13,0,624,205
28,103520,1048575,824,26240,1048575,477,6214,379546,528,4070,293167,557,5744,367610,546,6315,262103,238,752,39568,382,14608,847033,402,4772,268001,399,2486,141819,404,2822,200467,565,2623,180578,562,205
29,92192,1048575,536,23328,448819,561,5204,116453,472,4818,95280,415,7647,139338,469,5923,87613,515,825,12754,478,14544,204157,451,5093,67914,445,2708,36286,443,3229,61676,442,2555,56692,470,205
30,53648,895613,459,10750,175120,398,2504,50684,534,2015,42898,504,3382,53289,508,2183,30027,369,340,2871,377,3123,43451,429,1019,13037,418,581,6968,407,1265,30956,478,1155,30200,497,205
31,54096,1048575,335,11158,280558,524,3252,81949,518,2609,62290,519,4420,77636,541,4031,57805,482,320,5717,424,7590,135961,293,2406,42790,294,1239,22270,295,2655,67194,561,1932,53596,571,205
32,46992,815611,262,7475,156231,493,3311,50722,317,2938,38753,150,4650,52726,212,3096,39843,507,455,4859,356,6732,121379,436,2247,39503,435,1189,20741,436,1767,27994,273,1396,23235,267,205
33,128704,1048575,63,28448,1048575,1023,8234,471585,1023,5589,355912,80,8914,467702,170,7611,345211,1023,1382,53114,992,29200,1048575,1023,9234,367445,1023,4692,190713,1023,5556,301159,1023,4658,264861,1023,205
34,106368,1048575,686,25872,1048575,472,7374,247346,480,6553,211008,470,11354,305956,437,5074,157700,569,633,19392,538,9633,293594,340,3246,98201,345,1726,52631,352,5139,170867,519,4816,160763,528,205
35,27008,298260,157,3136,45075,275,1583,16644,161,2200,14975,90,2883,23192,153,792,7676,286,107,840,158,1679,21631,204,538,6995,202,294,3684,200,932,9982,156,756,8442,172,215
36,36672,630588,456,4339,80075,456,1827,30185,365,2036,29689,241,3245,38651,186,2550,32004,410,270,3919,495,2342,53913,495,765,17495,495,399,8978,495,1219,23381,250,1186,21661,252,215
37,127568,1048575,495,19344,1048575,573,8815,518832,464,7591,418446,489,11178,538072,554,6372,351616,184,1024,56875,284,18976,1048575,221,6400,351585,206,3460,187771,206,4434,286872,517,4242,260137,490,215
38,110080,1048575,733,16880,1048575,636,5469,562616,742,4814,450178,759,6275,606257,785,5166,421112,756,733,60290,767,16720,1048575,393,5640,401450,393,2981,214866,394,3498,345263,707,3039,312012,706,216
39,93520,1048575,574,12504,401312,545,4949,150387,623,4054,118198,499,7069,162040,462,3617,102996,574,603,16393,500,9123,322754,586,3046,105516,582,1615,56535,584,2161,79237,687,1921,72451,695,216
40,41200,958872,506,12048,185960,461,2302,63610,580,1954,47036,581,3421,58776,548,1803,31348,439,295,5864,441,4625,89244,402,1451,28006,396,766,14670,397,1317,37672,628,1223,32318,628,216
41,114368,1048575,620,21600,1048575,611,7643,519388,638,5230,383436,456,8377,486783,194,6026,373060,579,1136,61371,1023,18432,1048575,785,5948,396106,786,3167,211045,785,2492,252778,779,2276,221216,785,216
42,32560,435227,194,3252,43965,334,1621,20383,251,1358,13962,211,2731,16457,169,1563,17012,285,238,3181,300,4184,75778,370,1392,24673,363,691,12709,371,785,13550,330,601,10018,330,216
43,42304,1048575,660,9592,258226,485,3791,94322,645,2639,63068,668,4569,79948,594,3596,80044,290,626,11849,338,9913,305306,673,3317,101761,456,1756,53207,456,2000,49228,602,1737,41021,240,217
44,115696,1048575,757,14432,727971,791,5159,241061,811,4305,191035,766,6293,237937,686,4502,176105,772,705,28416,793,14320,550360,702,4795,182650,695,2531,97299,700,2477,115880,812,2252,102960,729,217
45,63264,1048575,915,7528,260925,795,2654,75083,327,2518,55713,395,3910,81658,463,2942,65114,378,299,9125,871,7355,238198,908,2541,79131,897,1341,42441,890,1365,40143,456,1237,34177,448,217
46,106256,1048575,656,23984,1036662,656,7198,348312,700,6289,265730,676,9305,349130,674,4715,194166,822,661,30506,831,9731,532113,657,3206,175617,658,1737,93847,656,4152,205649,685,3619,173826,686,218
47,99440,1048575,518,12976,461743,792,4891,144939,465,4353,120655,537,6546,146845,532,3522,119007,768,507,16153,807,10338,384094,779,3484,127500,775,1848,68265,772,2431,85144,475,2093,73255,496,218
48,96304,1048575,393,15008,273348,234,3231,62724,347,2553,49933,496,6595,81309,236,3377,46120,222,461,6867,388,6770,114357,479,2258,37807,469,1209,20428,465,1137,30772,596,1070,28080,603,219
49,44976,606254,176,4314,75272,357,1667,22292,198,1325,16300,204,2666,21691,171,2225,21172,165,316,3328,139,5661,101284,397,1866,33352,397,1006,17805,399,797,13816,316,621,10713,323,219
50,149744,1048575,814,38144,1048575,1023,5432,542613,877,4100,401182,885,6564,536766,829,6238,387814,838,695,65087,877,14448,1048575,800,4650,380866,801,2478,201923,802,2900,267902,917,2607,243473,913,219
51,35344,571146,251,5887,101654,317,2008,37615,349,2129,34285,399,4567,48036,188,2656,30751,174,231,2909,238,3573,62536,287,1195,21302,298,658,11516,286,1664,30203,356,1417,26861,358,252
52,36704,464042,158,3150,41871,159,1992,19334,123,1281,13718,305,2360,20429,276,1880,12798,160,191,1848,122,3865,44053,140,1249,14336,142,670,7714,144,917,11393,163,837,10287,159,270
53,35520,337481,104,8697,69367,81,2090,18881,233,1570,15244,248,2296,21424,247,3663,19301,67,882,4579,80,19744,116758,82,6825,40198,81,3458,20564,82,1349,13812,252,1062,11064,246,284
54,68512,1048575,879,13840,547336,739,4053,154117,845,3317,118009,863,5433,157733,755,4168,108487,783,573,19408,842,8162,361021,830,2676,117526,833,1418,62251,831,1622,63075,820,1450,54694,834,285
55,138464,1048575,486,25248,1015432,460,8169,330352,552,7831,266205,472,9264,329317,500,5675,205112,440,900,34268,355,13424,543224,213,4550,178176,197,2520,95851,190,5030,174115,486,4825,159618,459,285
56,146336,1048575,373,38336,1048575,104,12852,540842,1023,10869,439758,1023,14704,551334,1023,7133,295210,528,898,42127,649,16880,677217,114,5677,224006,112,3033,119670,114,6410,310202,573,5742,285252,606,285
57,158768,1048575,292,30576,1048575,195,12185,424727,252,10094,330239,314,14752,424997,233,8172,282271,217,1341,43396,266,25008,875791,235,8493,292156,232,4506,156407,234,6116,250161,285,5607,228010,277,285
58,43968,529976,207,35040,195539,64,3022,37901,255,2504,29522,307,4336,43246,182,1318,11682,213,157,1007,157,1497,18688,216,497,6163,218,266,3232,217,1018,17786,359,843,14635,345,285
59,40864,415987,135,7605,60992,108,1496,13272,120,1484,9523,85,1730,13170,115,3266,28622,122,923,6978,96,18688,191081,143,6136,61895,141,3080,30596,139,1466,14008,124,1153,10355,113,286
60,42848,475656,146,4905,63892,160,1984,22370,178,1701,20379,203,3449,26945,122,2463,19221,123,343,3056,60,6272,76079,157,2100,24973,153,1111,13135,149,1074,14168,191,914,11925,198,295
61,33232,492032,484,2429,57102,482,990,16845,519,535,9677,536,1792,16476,306,949,13318,484,341,3750,119,4638,72157,223,1542,23265,212,820,12212,212,607,10308,423,499,8464,407,298
62,34128,384546,162,6197,63262,171,1984,15894,141,2270,13278,64,2242,15130,110,1606,11736,138,443,3722,134,11256,117516,151,3170,33719,154,1545,16506,160,1582,13030,84,1197,9698,98,325
