,FS-H,FS-A,FS-W,SS-H,SS-A,SS-W,FL1-H,FL1-A,FL1-W,FL2-H,FL2-A,FL2-W,FL3-H,FL3-A,FL3-W,FL4-H,FL4-A,FL4-W,FL5-H,FL5-A,FL5-W,FL6-H,FL6-A,FL6-W,FL7-H,FL7-A,FL7-W,FL8-H,FL8-A,FL8-W,FL9-H,FL9-A,FL9-W,FL10-H,FL10-A,FL10-W,Time
0,44016,712071,409,6071,125020,371,8432,171647,403,5312,105993,401,6348,122420,405,2282,30674,399,10929,251187,405,1523,31547,337,4300,83682,332,2302,45198,332,1950,43848,438,3429,72894,425,148
1,28208,246749,111,9334,90736,167,9295,74848,145,5520,42681,153,6549,48236,150,1948,14376,123,9655,74553,127,1653,19065,192,4593,51749,185,2486,27903,185,1980,17958,151,3396,28156,140,148
2,28544,299176,375,8412,60313,199,829,11441,356,927,10299,279,1188,12185,316,727,4328,119,74,408,302,31,359,265,22,229,285,14,66,203,1920,32760,349,1487,25193,345,180
3,57520,811978,351,24144,492713,358,6372,124566,359,3711,68451,371,5713,85557,364,2958,36140,338,2346,42294,331,349,5680,286,2884,44474,261,3388,51101,257,4561,81835,412,5751,112704,396,180
4,50592,829669,279,15904,264353,292,1695,27207,326,1321,20393,334,1805,26774,430,1114,9365,189,132,743,191,74,1280,273,39,353,209,27,290,304,2809,57971,396,2204,46964,400,180
5,111328,1048575,570,88928,1048575,474,10875,300444,411,8232,229283,459,16528,405747,390,6749,180740,509,781,18503,426,538,10425,396,329,6166,444,178,3174,461,12591,457755,665,14704,514199,662,736
6,80096,1048575,586,38688,1048575,343,8014,472232,365,5867,333646,404,9833,538956,393,4243,220173,473,720,30144,611,524,26995,199,395,20083,193,201,9478,172,32816,1048575,883,22992,1048575,889,828
7,34304,472562,246,4777,73336,249,10993,160318,266,7189,91928,240,9374,110457,229,3124,29156,185,11066,195521,296,1022,6881,149,3038,19966,99,1691,11203,101,3225,67284,400,5012,100762,400,1293
8,42016,1048575,902,6591,377190,873,19568,933665,655,11980,555245,634,14160,591114,546,4732,177461,616,12096,874080,1020,1349,93102,547,4160,294800,579,2234,159893,590,5183,220370,798,8645,354419,796,1293
9,34016,433840,348,3712,60862,301,12017,174966,303,7858,95415,266,7833,98174,263,2412,25825,239,12800,242327,315,1160,17367,240,3992,58321,237,2166,31513,236,2265,38668,359,4127,61483,302,1301
