Classes,precision,recall,f1-score,support
1,0.92,0.96,0.94,305.0
2,0.96,0.97,0.96,1141.0
3,0.95,0.99,0.97,568.0
4,0.95,0.86,0.9,1106.0
5,0.67,0.98,0.8,65.0
6,0.6,0.85,0.71,182.0
7,1.0,0.98,0.99,7758.0
8,0.98,0.99,0.99,5925.0
9,0.99,0.99,0.99,4560.0
10,1.0,1.0,1.0,5700.0
11,0.98,0.92,0.95,436.0
12,,,,
