,WRS,P,Q
0,32.0,0.001308075817507055,0.005668328542530571
1,45.0,0.007927133448994754,0.024362633999432306
2,77.0,0.1731148948185589,0.22504936326412656
3,74.0,0.1401221995162274,0.19174616775904804
4,31.0,0.0011233503767113771,0.005668328542530571
5,80.0,0.21067411634874422,0.248978501139425
6,49.0,0.012924845224555214,0.028003831319869627
7,17.0,0.0001083156185063711,0.0014081030405828242
8,48.0,0.011470668477471024,0.027112489128567875
9,45.5,0.008433219461341951,0.024362633999432306
10,58.5,0.036491167356387744,0.06325135675107209
11,32.0,0.0013063031847672282,0.005668328542530571
12,38.5,0.0033511581223028414,0.012447158739981984
13,27.0,0.00059816265283284,0.00518407632455128
14,94.0,0.43611881489340604,0.4535635674891423
15,73.5,0.13503632904980734,0.19174616775904804
16,53.5,0.021275486811554938,0.03951161836431631
17,80.0,0.21061055602188805,0.248978501139425
18,47.5,0.010265997905295532,0.02669159455376838
19,85.0,0.2824402187270405,0.3192802472566545
20,96.0,0.47251101807882884,0.47251101807882884
21,52.5,0.019296754228718196,0.03859350845743639
22,88.5,0.33875298828832834,0.3669824039790223
23,0.0,3.6279299260420827e-06,9.432617807709415e-05
24,64.0,0.06174344049981996,0.09443114429384229
25,62.0,0.049236191766882306,0.08000881162118374
