,WRS,P,Q
0,29.0,0.0008236018960067311,0.004974555043505939
1,58.0,0.03476707536671896,0.059876629798238205
2,29.0,0.0008236018960067311,0.004974555043505939
3,74.0,0.1401221995162274,0.1888603558696978
4,13.0,5.167721839611992e-05,0.0005339979234265725
5,74.0,0.1401221995162274,0.1888603558696978
6,47.0,0.010160763705528715,0.026248639572615848
7,44.0,0.0069817521443465555,0.019675846952249384
8,30.0,0.0009628171051946978,0.004974555043505939
9,58.0,0.03476707536671896,0.059876629798238205
10,41.5,0.0050349135317434264,0.018472973234903295
11,37.0,0.002712963048439715,0.012014550643090167
12,87.5,0.3228781552767225,0.34514561426132406
13,12.0,4.273394111381772e-05,0.0005339979234265725
14,81.0,0.22418456925802177,0.27798886587994703
15,42.0,0.005363121261746118,0.018472973234903295
16,43.0,0.0061195034321450395,0.018970460639649623
17,73.5,0.13500354334174453,0.1888603558696978
18,51.5,0.017262649625909846,0.03822443845737181
19,83.5,0.2594521783115924,0.29788953806145796
20,98.0,0.49082803792080043,0.49082803792080043
21,0.0,3.6070283063429254e-06,0.00011181787749663069
22,84.5,0.27004158766995556,0.29897461492030797
23,53.0,0.020333277969246163,0.042022107803108735
24,62.5,0.053778634749433,0.08774408827539068
25,59.5,0.014115315906070956,0.033659599468323045
26,55.5,0.026048294670227217,0.050468570923565235
27,98.0,0.49079518281112466,0.49082803792080043
28,66.5,0.0753279468758465,0.11675831765756207
29,83.5,0.25574570482813175,0.29788953806145796
30,78.0,0.18065423989940382,0.23334505987006326
