98.75, 99.55
98.53, 99.10
91.15, 96.33
77.52, 84.08
78.68, 82.62
80.81, 86.03
80.80, 87.04
74.33, 81.23
71.07, 76.72
95.95, 98.35
78.37, 80.90
83.15, 85.35
85.22, 86.10
81.32, 86.92
80.40, 83.96
78.04, 83.00
71.44, 76.63
69.48, 74.60
88.75, 94.65
78.17, 82.07
76.08, 80.17
74.80, 80.34
70.18, 78.15
65.07, 73.40
65.48, 72.76
61.53, 70.57
65.73, 72.39
80.80, 87.90
70.87, 82.27
77.55, 83.10
72.98, 82.02
77.18, 85.02
75.24, 82.83
74.91, 82.71
72.09, 82.07
69.81, 80.29
96.85, 97.10
93.37, 95.60
80.70, 82.93
74.94, 80.24
76.85, 83.12
73.80, 79.19
73.74, 81.05
68.44, 78.54
66.63, 76.99
95.05, 95.40
94.77, 95.27
84.65, 87.02
84.40, 87.46
84.48, 86.68
83.40, 86.21
82.20, 85.60
81.83, 85.74
79.71, 85.62
94.55, 94.55
85.73, 84.97
79.42, 79.57
76.08, 77.10
73.02, 76.37
68.66, 72.23
65.80, 69.49
69.03, 73.87
66.15, 72.84
99.20, 99.35
94.03, 96.23
79.70, 83.93
80.86, 84.60
77.07, 83.33
69.96, 75.67
64.85, 72.15
64.47, 73.82
66.35, 73.48
96.35, 97.35
82.60, 87.33
80.62, 86.12
81.06, 87.46
79.62, 85.67
78.93, 85.54
73.99, 83.28
65.04, 72.92
67.97, 77.12
95.15, 99.15
89.50, 96.73
80.05, 87.67
76.08, 82.40
65.32, 73.67
63.33, 74.41
67.44, 76.44
70.88, 77.19
67.87, 76.76
