Classes,precision,recall,f1-score,support
1,0.93,0.98,0.96,302.0
2,0.98,0.99,0.99,1139.0
3,0.99,0.99,0.99,593.0
4,0.96,0.93,0.94,1046.0
5,0.69,0.93,0.8,71.0
6,0.84,0.89,0.87,243.0
7,1.0,1.0,1.0,7671.0
8,0.99,1.0,1.0,5989.0
9,0.99,0.99,0.99,4539.0
10,1.0,1.0,1.0,5696.0
11,0.98,0.93,0.95,433.0
12,,,,
