,0
1,0.5357495214818596
2,0.6842760239054785
3,0.567208998493056
4,0.48191804608665073
5,0.5734220647919195
6,0.42867782611598426
7,0.5662223255270907
8,0.4920104259014944
9,0.6416300602375182
10,0.44712184868247173
11,0.6671635356250998
12,0.5075062046035619
13,0.5075836957821368
14,0.387256008286051
