52.34, 48.61
52.34, 58.87
52.34, 54.53
52.34, 57.47
52.34, 57.53
52.34, 56.41
52.34, 57.09
52.34, 57.75
52.34, 57.42
60.79, 54.35
60.79, 64.28
60.79, 67.36
60.79, 64.15
60.79, 58.12
60.79, 63.87
60.79, 63.79
60.79, 63.96
60.79, 63.89
56.07, 62.81
56.07, 63.18
56.07, 62.79
56.07, 64.91
56.07, 61.62
56.07, 61.97
56.07, 58.93
56.07, 60.52
56.07, 60.57
58.38, 52.50
58.38, 59.47
58.38, 60.62
58.38, 66.77
58.38, 65.14
58.38, 59.20
58.38, 60.57
58.38, 60.51
58.38, 60.36
51.10, 52.28
51.10, 57.73
51.10, 60.52
51.10, 59.13
51.10, 59.15
51.10, 62.64
51.10, 53.88
51.10, 55.76
51.10, 55.55
50.28, 49.67
50.28, 55.02
50.28, 53.83
50.28, 57.29
50.28, 60.25
50.28, 52.80
50.28, 54.03
50.28, 52.03
50.28, 54.92
49.85, 44.68
49.85, 54.93
49.85, 57.62
49.85, 54.47
49.85, 50.23
49.85, 53.87
49.85, 53.30
49.85, 53.58
49.85, 53.19
50.62, 50.98
50.62, 51.38
50.62, 53.88
50.62, 47.29
50.62, 53.53
50.62, 54.07
50.62, 54.16
50.62, 54.02
50.62, 53.86
60.93, 61.65
60.93, 63.94
60.93, 66.91
60.93, 46.55
60.93, 64.90
60.93, 64.45
60.93, 64.84
60.93, 64.60
60.93, 64.57
58.09, 63.06
58.09, 59.13
58.09, 66.09
58.09, 66.00
58.09, 63.99
58.09, 62.62
58.09, 62.82
58.09, 62.49
58.09, 62.96
