0.5411,0.5351,0.562,0.5191,0.4897,0.4997,0.4978,0.5026,0.4872,0.4962,0.4605,0.5356,0.4994,0.4614
0.5997,0.6648,0.6186,0.5566,0.5898,0.5599,0.5511,0.622,0.5644,0.5772,0.6447,0.6031,0.569,0.5498
0.5903,0.611,0.6526,0.5442,0.563,0.5621,0.5459,0.5903,0.5469,0.5455,0.5572,0.5815,0.558,0.5367
0.5667,0.5411,0.5817,0.5721,0.5447,0.5565,0.5618,0.5399,0.5291,0.5415,0.5254,0.5832,0.5634,0.5096
0.6082,0.6075,0.639,0.5632,0.6203,0.5681,0.587,0.5931,0.5869,0.587,0.5903,0.6194,0.5612,0.5473
0.5574,0.5005,0.5628,0.5169,0.5363,0.5983,0.5148,0.565,0.503,0.5103,0.5028,0.584,0.5085,0.4721
0.5777,0.5413,0.5933,0.5323,0.5738,0.588,0.5862,0.606,0.5488,0.5578,0.542,0.564,0.5548,0.4976
0.5837,0.5515,0.6018,0.5618,0.5657,0.5839,0.5614,0.6227,0.5382,0.5302,0.5368,0.6041,0.5996,0.5042
0.5723,0.5791,0.5935,0.5297,0.5698,0.5435,0.5566,0.5533,0.5834,0.5557,0.573,0.5868,0.5295,0.5167
0.513,0.5371,0.5695,0.5196,0.5152,0.5403,0.5198,0.5489,0.5393,0.5682,0.5529,0.5487,0.5349,0.514
0.5672,0.6414,0.5868,0.569,0.5951,0.5488,0.5581,0.6183,0.5716,0.5506,0.6255,0.6109,0.5486,0.5276
0.5174,0.4966,0.5095,0.4934,0.4865,0.509,0.4982,0.5155,0.5128,0.5043,0.4753,0.5608,0.4878,0.4591
0.5942,0.5966,0.6648,0.5612,0.5665,0.5964,0.5679,0.6216,0.5534,0.5752,0.5598,0.6222,0.5935,0.5355
0.5801,0.5616,0.5657,0.5503,0.5345,0.5143,0.5003,0.5211,0.5122,0.5421,0.5551,0.557,0.5075,0.5472
