0.513,0.4304,0.5091,0.4718,0.4072,0.4395,0.4325,0.463,0.4434,0.4303,0.4054,0.469,0.4535,0.4139
0.5033,0.5759,0.5351,0.4463,0.5048,0.4697,0.4462,0.5054,0.4655,0.4707,0.529,0.4874,0.4664,0.4381
0.5371,0.5293,0.5744,0.4548,0.4802,0.4839,0.4838,0.4943,0.4538,0.4621,0.438,0.4921,0.446,0.4533
0.5047,0.4495,0.5038,0.4897,0.4587,0.4839,0.495,0.4831,0.4767,0.4356,0.4583,0.4785,0.4797,0.4454
0.4899,0.5204,0.5227,0.4592,0.526,0.4733,0.4939,0.523,0.5011,0.4856,0.5005,0.5512,0.4498,0.4604
0.4631,0.4511,0.4876,0.4576,0.4401,0.5071,0.4342,0.498,0.4546,0.4135,0.4487,0.4798,0.442,0.4343
0.5092,0.4435,0.5447,0.4813,0.4881,0.4758,0.5028,0.5044,0.4649,0.4885,0.4436,0.5015,0.4611,0.4351
0.5407,0.4646,0.5079,0.4895,0.4893,0.4986,0.4746,0.5465,0.4771,0.4792,0.4633,0.535,0.5212,0.4578
0.4985,0.4705,0.5084,0.4443,0.4836,0.446,0.472,0.4969,0.525,0.4935,0.4646,0.517,0.4486,0.4483
0.5243,0.491,0.5268,0.4645,0.4765,0.4641,0.4732,0.5038,0.5026,0.5169,0.4967,0.4932,0.4693,0.4774
0.4947,0.5473,0.4984,0.4676,0.4976,0.4714,0.4571,0.5151,0.4852,0.4714,0.546,0.5022,0.4619,0.4507
0.4887,0.4188,0.4639,0.4398,0.4377,0.4721,0.444,0.4766,0.4428,0.4462,0.4351,0.5197,0.4261,0.4215
0.5266,0.4876,0.5581,0.4909,0.4768,0.4919,0.4873,0.5496,0.4849,0.4891,0.4796,0.5063,0.5066,0.4559
0.5081,0.5053,0.5031,0.4555,0.4695,0.451,0.456,0.475,0.4549,0.4863,0.4829,0.4813,0.4619,0.4969
