71.07, 73.25
71.07, 69.57
71.07, 72.31
71.07, 73.18
71.07, 70.68
71.07, 74.06
71.07, 73.45
71.07, 71.75
71.07, 72.58
69.48, 73.63
69.48, 72.92
69.48, 74.06
69.48, 73.98
69.48, 74.25
69.48, 75.43
69.48, 75.91
69.48, 76.30
69.48, 73.36
65.73, 50.85
65.73, 67.90
65.73, 70.30
65.73, 70.10
65.73, 71.30
65.73, 64.15
65.73, 68.14
65.73, 65.80
65.73, 68.68
69.81, 73.82
69.81, 77.79
69.81, 78.73
69.81, 78.98
69.81, 78.66
69.81, 79.53
69.81, 79.01
69.81, 78.78
69.81, 78.92
66.63, 43.35
66.63, 59.71
66.63, 71.10
66.63, 73.17
66.63, 73.70
66.63, 73.20
66.63, 73.14
66.63, 73.62
66.63, 74.09
79.71, 86.63
79.71, 86.28
79.71, 86.62
79.71, 88.04
79.71, 87.65
79.71, 88.06
79.71, 88.64
79.71, 88.31
79.71, 87.99
66.15, 36.46
66.15, 69.83
66.15, 66.69
66.15, 70.09
66.15, 68.05
66.15, 70.55
66.15, 65.59
66.15, 70.92
66.15, 71.86
66.35, 69.21
66.35, 66.27
66.35, 66.88
66.35, 74.72
66.35, 75.43
66.35, 75.76
66.35, 75.86
66.35, 74.31
66.35, 75.52
67.97, 58.28
67.97, 61.85
67.97, 70.34
67.97, 67.87
67.97, 71.30
67.97, 64.05
67.97, 64.65
67.97, 69.64
67.97, 69.64
67.87, 75.67
67.87, 66.02
67.87, 71.95
67.87, 74.71
67.87, 74.21
67.87, 74.97
67.87, 75.29
67.87, 74.45
67.87, 75.57
